0: output to I.dmc.o
1658: Timestep is 1.19925551470588
1385: Timestep is 1.19925551470588
1115: Timestep is 1.19925551470588
298: Timestep is 1.19925551470588
1929: Timestep is 1.19925551470588
842: Timestep is 1.19925551470588
55: Timestep is 1.19925551470588
1659: Timestep is 1.19925551470588
570: Timestep is 1.19925551470588
1386: Timestep is 1.19925551470588
1116: Timestep is 1.19925551470588
299: Timestep is 1.19925551470588
1930: Timestep is 1.19925551470588
843: Timestep is 1.19925551470588
56: Timestep is 1.19925551470588
1660: Timestep is 1.19925551470588
571: Timestep is 1.19925551470588
1388: Timestep is 1.19925551470588
300: Timestep is 1.19925551470588
1931: Timestep is 1.19925551470588
844: Timestep is 1.19925551470588
57: Timestep is 1.19925551470588
572: Timestep is 1.19925551470588
1389: Timestep is 1.19925551470588
301: Timestep is 1.19925551470588
1932: Timestep is 1.19925551470588
845: Timestep is 1.19925551470588
573: Timestep is 1.19925551470588
1390: Timestep is 1.19925551470588
1933: Timestep is 1.19925551470588
846: Timestep is 1.19925551470588
1662: Timestep is 1.19925551470588
574: Timestep is 1.19925551470588
1391: Timestep is 1.19925551470588
1117: Timestep is 1.19925551470588
302: Timestep is 1.19925551470588
1934: Timestep is 1.19925551470588
847: Timestep is 1.19925551470588
58: Timestep is 1.19925551470588
1118: Timestep is 1.19925551470588
303: Timestep is 1.19925551470588
1935: Timestep is 1.19925551470588
59: Timestep is 1.19925551470588
1663: Timestep is 1.19925551470588
575: Timestep is 1.19925551470588
61: Timestep is 1.19925551470588
1119: Timestep is 1.19925551470588
304: Timestep is 1.19925551470588
848: Timestep is 1.19925551470588
62: Timestep is 1.19925551470588
1664: Timestep is 1.19925551470588
576: Timestep is 1.19925551470588
1120: Timestep is 1.19925551470588
305: Timestep is 1.19925551470588
849: Timestep is 1.19925551470588
63: Timestep is 1.19925551470588
1665: Timestep is 1.19925551470588
577: Timestep is 1.19925551470588
1392: Timestep is 1.19925551470588
1121: Timestep is 1.19925551470588
306: Timestep is 1.19925551470588
1936: Timestep is 1.19925551470588
850: Timestep is 1.19925551470588
64: Timestep is 1.19925551470588
1666: Timestep is 1.19925551470588
578: Timestep is 1.19925551470588
1393: Timestep is 1.19925551470588
307: Timestep is 1.19925551470588
1937: Timestep is 1.19925551470588
851: Timestep is 1.19925551470588
65: Timestep is 1.19925551470588
1667: Timestep is 1.19925551470588
579: Timestep is 1.19925551470588
1394: Timestep is 1.19925551470588
1938: Timestep is 1.19925551470588
852: Timestep is 1.19925551470588
1668: Timestep is 1.19925551470588
580: Timestep is 1.19925551470588
1395: Timestep is 1.19925551470588
1123: Timestep is 1.19925551470588
1939: Timestep is 1.19925551470588
853: Timestep is 1.19925551470588
1396: Timestep is 1.19925551470588
1940: Timestep is 1.19925551470588
854: Timestep is 1.19925551470588
1669: Timestep is 1.19925551470588
