 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy
   82     0.1224389270     -7.032746703172   -16150.009573736326 (   2 * )
   83     0.1224389335     -7.032746696678   -16150.009573729832 (   2 * )
   84     0.1224389378     -7.032746692355   -16150.009573725511 (   2 * )
   85     0.1224389400     -7.032746690196   -16150.009573723351 (   2 * )
   86     0.1327930525     -7.022392577637   -16149.999219610792 (   2 * )
   87     0.1327930790     -7.022392551127   -16149.999219584282 (   2 * )
   88     0.1327931321     -7.022392498104   -16149.999219531259 (   2 * )
   89     0.1327932116     -7.022392418558   -16149.999219451713 (   2 * )
   90     0.1334742795     -7.021711350629   -16149.998538383785 (   2 * )
   91     0.1359912512     -7.019194378937   -16149.996021412091 (   2 * )
   92     0.1359912658     -7.019194364407   -16149.996021397563 (   2 * )
   93     0.1359912949     -7.019194335283   -16149.996021368439 (   2 * )
   94     0.1363651089     -7.018820521218   -16149.995647554373 (   2 * )
   95     0.1363651297     -7.018820500419   -16149.995647533575 (   2 * )
   96     0.1419548305     -7.013230799712   -16149.990057832867 (   2 * )
   97     0.1419548496     -7.013230780532   -16149.990057813688 (   2 * )
   98     0.1419548880     -7.013230742163   -16149.990057775318 (   2 * )
   99     0.1419549456     -7.013230684597   -16149.990057717752 (   2 * )
  100     0.1419550223     -7.013230607824   -16149.990057640980 (   2 * )
  101     0.1435645695     -7.011621060664   -16149.988448093820 (   2 * )
  102     0.1435645937     -7.011621036460   -16149.988448069615 (   2 * )
  103     0.1435646129     -7.011621017240   -16149.988448050395 (   2 * )
  104     0.1435646273     -7.011621002911   -16149.988448036067 (   2 * )
  105     0.1435646368     -7.011620993401   -16149.988448026555 (   2 * )
  106     0.1435646415     -7.011620988658   -16149.988448021813 (   2 * )
  107     0.1501620511     -7.005023579082   -16149.981850612237 (   2 * )
  108     0.1501620619     -7.005023568285   -16149.981850601440 (   2 * )
  109     0.1501620709     -7.005023559296   -16149.981850592452 (   2 * )
  110     0.1501620780     -7.005023552115   -16149.981850585271 (   2 * )
  111     0.1501620834     -7.005023546737   -16149.981850579892 (   2 * )
  112     0.1501620870     -7.005023543155   -16149.981850576311 (   2 * )
  113     0.1501620888     -7.005023541365   -16149.981850574521 (   2 * )
  114     0.1504826883     -7.004702941862   -16149.981529975017 (   2 * )
  115     0.1504826962     -7.004702933999   -16149.981529967154 (   2 * )
  116     0.1504827119     -7.004702918223   -16149.981529951378 (   2 * )
  117     0.1504827357     -7.004702894425   -16149.981529927580 (   2 * )
  118     0.1509032062     -7.004282423925   -16149.981109457080 (   2 * )
  119     0.1581358311     -6.997049799075   -16149.973876832230 (   2 * )
  120     0.1581358558     -6.997049774320   -16149.973876807475 (   2 * )
  121     0.1581359056     -6.997049724566   -16149.973876757720 (   2 * )
  122     0.1581359808     -6.997049649353   -16149.973876682508 (   2 * )
  123     0.1585498415     -6.996635788636   -16149.973462821790 (   2 * )
  124     0.1585498571     -6.996635773112   -16149.973462806267 (   2 * )
  125     0.1585498648     -6.996635765383   -16149.973462798538 (   2 * )
  126     0.1634320994     -6.991753530734   -16149.968580563889 (   4 * )
  127     0.1634321008     -6.991753529399   -16149.968580562554 (   2 * )
  128     0.1634321022     -6.991753527969   -16149.968580561124 (   2 * )
  129     0.1634321038     -6.991753526344   -16149.968580559500 (   2 * )
  130     0.1646679382     -6.990517691970   -16149.967344725124 (   2 * )
  131     0.1646679573     -6.990517672901   -16149.967344706056 (   2 * )
  132     0.1646679955     -6.990517634703   -16149.967344667857 (   2 * )
  133     0.1646680529     -6.990517577248   -16149.967344610403 (   2 * )
  134     0.1646681298     -6.990517500348   -16149.967344533503 (   2 * )
  135     0.1646682264     -6.990517403742   -16149.967344436898 (   2 * )
  136     0.1671957077     -6.987989922434   -16149.964816955589 (   2 * )
  137     0.1671958836     -6.987989746569   -16149.964816779724 (   2 * )
  138     0.1743469379     -6.980838692239   -16149.957665725393 (   2 * )
  139     0.1743469932     -6.980838637011   -16149.957665670167 (   2 * )
  140     0.1743470206     -6.980838609535   -16149.957665642691 (   2 * )
  141     0.1774047844     -6.977780845804   -16149.954607878959 (   2 * )
  142     0.1774048456     -6.977780784564   -16149.954607817719 (   2 * )
  143     0.1788387451     -6.976346885026   -16149.953173918182 (   2 * )
  144     0.1791608681     -6.976024762100   -16149.952851795255 (   2 * )
  145     0.1791608772     -6.976024752924   -16149.952851786080 (   2 * )
  146     0.1791608957     -6.976024734434   -16149.952851767590 (   2 * )
  147     0.1791609238     -6.976024706362   -16149.952851739517 (   2 * )
  148     0.1791609618     -6.976024668325   -16149.952851701481 (   2 * )
  149     0.1836094859     -6.971576144239   -16149.948403177394 (   2 * )
  150     0.1836095129     -6.971576117222   -16149.948403150378 (   2 * )
  151     0.1836095303     -6.971576099869   -16149.948403133025 (   2 * )
  152     0.1836095388     -6.971576091391   -16149.948403124547 (   2 * )
  153     0.1866589620     -6.968526668122   -16149.945353701278 (   2 * )
  154     0.1866590001     -6.968526630087   -16149.945353663243 (   2 * )
  155     0.1866590189     -6.968526611293   -16149.945353644449 (   2 * )
  156     0.1917598911     -6.963425739014   -16149.940252772169 (   2 * )
  157     0.1917599889     -6.963425641247   -16149.940252674402 (   2 * )
  158     0.1917600542     -6.963425575998   -16149.940252609153 (   2 * )
  159     0.1917600868     -6.963425543351   -16149.940252576507 (   2 * )
  160     0.1938804655     -6.961305164673   -16149.938132197827 (   2 * )
  161     0.1938805607     -6.961305069488   -16149.938132102643 (   2 * )
  162     0.1984679156     -6.956717714581   -16149.933544747737 (   2 * )
  163     0.1984679333     -6.956717696892   -16149.933544730047 (   2 * )
  164     0.1984679687     -6.956717661424   -16149.933544694579 (   2 * )
  165     0.2016124724     -6.953573157725   -16149.930400190880 (   2 * )
  166     0.2016125301     -6.953573100032   -16149.930400133188 (   2 * )
  167     0.2016126462     -6.953572984004   -16149.930400017160 (   2 * )
  168     0.2034093746     -6.951776255607   -16149.928603288761 (   2 * )
  169     0.2034093864     -6.951776243740   -16149.928603276896 (   2 * )
  170     0.2034093952     -6.951776234918   -16149.928603268074 (   2 * )
  171     0.2034094011     -6.951776229075   -16149.928603262231 (   2 * )
  172     0.2034094040     -6.951776226166   -16149.928603259321 (   2 * )
  173     0.2080882158     -6.947097414376   -16149.923924447530 (   2 * )
  174     0.2080883169     -6.947097313243   -16149.923924346398 (   2 * )
  175     0.2103193821     -6.944866248038   -16149.921693281194 (   2 * )
  176     0.2103194683     -6.944866161827   -16149.921693194981 (   2 * )
  177     0.2103195117     -6.944866118496   -16149.921693151651 (   2 * )
  178     0.2105124776     -6.944673152562   -16149.921500185717 (   2 * )
  179     0.2105125539     -6.944673076274   -16149.921500109429 (   2 * )
  180     0.2105126048     -6.944673025390   -16149.921500058545 (   2 * )
  181     0.2105126302     -6.944672999940   -16149.921500033095 (   2 * )
  182     0.2125292382     -6.942656391919   -16149.919483425074 (   2 * )
  183     0.2125293442     -6.942656285999   -16149.919483319154 (   2 * )
  184     0.2184885156     -6.936697114605   -16149.913524147760 (   2 * )
  185     0.2427964882     -6.912389141986   -16149.889216175141 (   2 * )
  186     0.2427965018     -6.912389128343   -16149.889216161499 (   2 * )
  187     0.2427965291     -6.912389101055   -16149.889216134210 (   2 * )
  188     0.2427965700     -6.912389060132   -16149.889216093286 (   2 * )
  189     0.2443434571     -6.910842173057   -16149.887669206213 (   2 * )
  190     0.2443434612     -6.910842168974   -16149.887669202129 (   2 * )
  191     0.2443434694     -6.910842160736   -16149.887669193891 (   2 * )
  192     0.2443434820     -6.910842148201   -16149.887669181357 (   2 * )
  193     0.2443434990     -6.910842131163   -16149.887669164318 (   2 * )
  194     0.2552625606     -6.899923069543   -16149.876750102698 (   2 * )
  195     0.2552627244     -6.899922905761   -16149.876749938916 (   2 * )
  196     0.2590156994     -6.896169930785   -16149.872996963939 (   2 * )
  197     0.2590157317     -6.896169898512   -16149.872996931668 (   2 * )
  198     0.2590157468     -6.896169883316   -16149.872996916471 (   2 * )
  199     0.2614068414     -6.893778788781   -16149.870605821936 (   2 * )
  200     0.2614069188     -6.893778711348   -16149.870605744503 (   2 * )
  201     0.2614069699     -6.893778660267   -16149.870605693422 (   2 * )
  202     0.2614069953     -6.893778634893   -16149.870605668048 (   2 * )
  203     0.2700943283     -6.885091301908   -16149.861918335062 (   2 * )
  204     0.3080543804     -6.847131249749   -16149.823958282905 (   2 * )
  205     0.3080544447     -6.847131185477   -16149.823958218632 (   2 * )
  206     0.3080545733     -6.847131056879   -16149.823958090034 (   2 * )
  207     0.3086196770     -6.846565953159   -16149.823392986315 (   2 * )
  208     0.3086198089     -6.846565821260   -16149.823392854414 (   2 * )
  209     0.3844134753     -6.770772154816   -16149.747599187971 (   2 * )


 Total average:    -16149.9826525738
