 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy
   65     0.1156047764     -7.018939677392      -66.414827004548 (   2 * )
   66     0.1156048168     -7.018939637011      -66.414826964166 (   2 * )
   67     0.1202109163     -7.014333537554      -66.410220864709 (   2 * )
   68     0.1202109876     -7.014333466198      -66.410220793354 (   2 * )
   69     0.1202110233     -7.014333430538      -66.410220757694 (   2 * )
   70     0.1226311678     -7.011913285989      -66.407800613145 (   2 * )
   71     0.1226312109     -7.011913242909      -66.407800570064 (   2 * )
   72     0.1226312397     -7.011913214089      -66.407800541244 (   2 * )
   73     0.1226312542     -7.011913199649      -66.407800526805 (   2 * )
   74     0.1232367551     -7.011307698692      -66.407195025847 (   2 * )
   75     0.1232367907     -7.011307663087      -66.407194990242 (   2 * )
   76     0.1232368174     -7.011307636391      -66.407194963546 (   2 * )
   77     0.1232368352     -7.011307618597      -66.407194945752 (   2 * )
   78     0.1232368441     -7.011307609701      -66.407194936856 (   2 * )
   79     0.1259717427     -7.008572711110      -66.404460038265 (   2 * )
   80     0.1259717589     -7.008572694947      -66.404460022103 (   2 * )
   81     0.1259717718     -7.008572681999      -66.404460009155 (   2 * )
   82     0.1259717816     -7.008572672278      -66.404459999433 (   2 * )
   83     0.1259717880     -7.008572665791      -66.404459992947 (   2 * )
   84     0.1259717913     -7.008572662547      -66.404459989702 (   2 * )
   85     0.1370169644     -6.997527489411      -66.393414816567 (   2 * )
   86     0.1370169908     -6.997527463050      -66.393414790206 (   2 * )
   87     0.1370170435     -6.997527410337      -66.393414737492 (   2 * )
   88     0.1370171225     -6.997527331287      -66.393414658442 (   2 * )
   89     0.1375498571     -6.996994596705      -66.392881923860 (   2 * )
   90     0.1401698714     -6.994374582458      -66.390261909613 (   2 * )
   91     0.1401698939     -6.994374559921      -66.390261887076 (   2 * )
   92     0.1401699390     -6.994374514839      -66.390261841994 (   2 * )
   93     0.1406207577     -6.993923696167      -66.389811023322 (   2 * )
   94     0.1406207637     -6.993923690165      -66.389811017320 (   2 * )
   95     0.1457033809     -6.988841072958      -66.384728400113 (   2 * )
   96     0.1457034010     -6.988841052805      -66.384728379960 (   2 * )
   97     0.1457034413     -6.988841012499      -66.384728339654 (   2 * )
   98     0.1457035018     -6.988840952041      -66.384728279197 (   2 * )
   99     0.1457035824     -6.988840871433      -66.384728198588 (   2 * )
  100     0.1476073451     -6.986937108764      -66.382824435919 (   2 * )
  101     0.1476073572     -6.986937096596      -66.382824423752 (   2 * )
  102     0.1476073670     -6.986937086808      -66.382824413963 (   2 * )
  103     0.1476073744     -6.986937079436      -66.382824406591 (   2 * )
  104     0.1476073793     -6.986937074506      -66.382824401661 (   2 * )
  105     0.1476073818     -6.986937072036      -66.382824399191 (   2 * )
  106     0.1545429736     -6.980001480224      -66.375888807379 (   2 * )
  107     0.1545429811     -6.980001472778      -66.375888799933 (   2 * )
  108     0.1545429959     -6.980001457903      -66.375888785058 (   2 * )
  109     0.1545430182     -6.980001435632      -66.375888762787 (   2 * )
  110     0.1545836712     -6.979960782660      -66.375848109815 (   2 * )
  111     0.1545836842     -6.979960769641      -66.375848096797 (   2 * )
  112     0.1545836950     -6.979960758806      -66.375848085961 (   2 * )
  113     0.1545837037     -6.979960750146      -66.375848077301 (   2 * )
  114     0.1545837102     -6.979960743656      -66.375848070812 (   2 * )
  115     0.1545837145     -6.979960739332      -66.375848066488 (   2 * )
  116     0.1545837167     -6.979960737171      -66.375848064327 (   2 * )
  117     0.1549298790     -6.979614574833      -66.375501901989 (   2 * )
  118     0.1624696263     -6.972074827573      -66.367962154728 (   2 * )
  119     0.1624696505     -6.972074803310      -66.367962130465 (   2 * )
  120     0.1624696990     -6.972074754813      -66.367962081968 (   2 * )
  121     0.1624697717     -6.972074682141      -66.367962009297 (   2 * )
  122     0.1627258818     -6.971818572042      -66.367705899197 (   2 * )
  123     0.1627258974     -6.971818556471      -66.367705883626 (   2 * )
  124     0.1627259052     -6.971818548659      -66.367705875814 (   2 * )
  125     0.1679273432     -6.966617110645      -66.362504437801 (   2 * )
  126     0.1679273450     -6.966617108789      -66.362504435944 (   2 * )
  127     0.1679273488     -6.966617105058      -66.362504432214 (   2 * )
  128     0.1679273544     -6.966617099418      -66.362504426573 (   2 * )
  129     0.1679273620     -6.966617091813      -66.362504418969 (   2 * )
  130     0.1686831343     -6.965861319526      -66.361748646682 (   2 * )
  131     0.1686831511     -6.965861302731      -66.361748629886 (   2 * )
  132     0.1686831847     -6.965861269161      -66.361748596316 (   2 * )
  133     0.1686832350     -6.965861218858      -66.361748546014 (   2 * )
  134     0.1686833019     -6.965861151885      -66.361748479041 (   2 * )
  135     0.1686833855     -6.965861068326      -66.361748395482 (   2 * )
  136     0.1716791571     -6.962865296756      -66.358752623911 (   2 * )
  137     0.1716792803     -6.962865173496      -66.358752500652 (   2 * )
  138     0.1797549450     -6.954789508856      -66.350676836012 (   2 * )
  139     0.1797549896     -6.954789464222      -66.350676791377 (   2 * )
  140     0.1797550120     -6.954789441869      -66.350676769024 (   2 * )
  141     0.1825355730     -6.952008880852      -66.347896208007 (   2 * )
  142     0.1825356115     -6.952008842317      -66.347896169473 (   2 * )
  143     0.1836439649     -6.950900488925      -66.346787816080 (   2 * )
  144     0.1836439744     -6.950900479434      -66.346787806590 (   2 * )
  145     0.1836439933     -6.950900460490      -66.346787787645 (   2 * )
  146     0.1836440217     -6.950900432163      -66.346787759318 (   2 * )
  147     0.1836440593     -6.950900394566      -66.346787721721 (   2 * )
  148     0.1839755976     -6.950568856216      -66.346456183371 (   2 * )
  149     0.1880949255     -6.946449528380      -66.342336855536 (   2 * )
  150     0.1880949512     -6.946449502635      -66.342336829790 (   2 * )
  151     0.1880949686     -6.946449485283      -66.342336812438 (   2 * )
  152     0.1880949773     -6.946449476550      -66.342336803706 (   2 * )
  153     0.1922493218     -6.942295132007      -66.338182459163 (   2 * )
  154     0.1922493489     -6.942295104889      -66.338182432044 (   2 * )
  155     0.1922493626     -6.942295091284      -66.338182418439 (   2 * )
  156     0.1978986113     -6.936645842499      -66.332533169655 (   2 * )
  157     0.1978987123     -6.936645741495      -66.332533068650 (   2 * )
  158     0.1978987796     -6.936645674186      -66.332533001342 (   2 * )
  159     0.1978988133     -6.936645640540      -66.332532967695 (   2 * )
  160     0.1995823474     -6.934962106400      -66.330849433556 (   2 * )
  161     0.1995824660     -6.934961987786      -66.330849314941 (   2 * )
  162     0.2047148275     -6.929829626327      -66.325716953482 (   2 * )
  163     0.2047148413     -6.929829612492      -66.325716939647 (   2 * )
  164     0.2047148690     -6.929829584847      -66.325716912002 (   2 * )
  165     0.2077436573     -6.926800796523      -66.322688123678 (   2 * )
  166     0.2077436999     -6.926800753954      -66.322688081109 (   2 * )
  167     0.2077437848     -6.926800669038      -66.322687996193 (   2 * )
  168     0.2100818853     -6.924462568580      -66.320349895736 (   2 * )
  169     0.2100818946     -6.924462559239      -66.320349886395 (   2 * )
  170     0.2100819016     -6.924462552203      -66.320349879358 (   2 * )
  171     0.2100819063     -6.924462547496      -66.320349874652 (   2 * )
  172     0.2100819087     -6.924462545139      -66.320349872294 (   2 * )
  173     0.2148015350     -6.919742918862      -66.315630246018 (   2 * )
  174     0.2148016227     -6.919742831127      -66.315630158282 (   2 * )
  175     0.2169487983     -6.917595655501      -66.313482982656 (   2 * )
  176     0.2169488867     -6.917595567178      -66.313482894333 (   2 * )
  177     0.2169489308     -6.917595523042      -66.313482850197 (   2 * )
  178     0.2171838821     -6.917360571758      -66.313247898914 (   2 * )
  179     0.2171839518     -6.917360501994      -66.313247829149 (   2 * )
  180     0.2171839984     -6.917360455480      -66.313247782635 (   2 * )
  181     0.2171840216     -6.917360432221      -66.313247759377 (   2 * )
  182     0.2189512019     -6.915593251961      -66.311480579116 (   2 * )
  183     0.2189512500     -6.915593203800      -66.311480530955 (   2 * )
  184     0.2254911080     -6.909053345784      -66.304940672940 (   2 * )
  185     0.2505928750     -6.883951578859      -66.279838906014 (   2 * )
  186     0.2505928847     -6.883951569165      -66.279838896320 (   2 * )
  187     0.2505929041     -6.883951549765      -66.279838876920 (   2 * )
  188     0.2505929332     -6.883951520635      -66.279838847790 (   2 * )
  189     0.2523336654     -6.882210788462      -66.278098115618 (   2 * )
  190     0.2523336690     -6.882210784784      -66.278098111940 (   2 * )
  191     0.2523336764     -6.882210777447      -66.278098104602 (   2 * )
  192     0.2523336873     -6.882210766486      -66.278098093642 (   2 * )
  193     0.2523337019     -6.882210751960      -66.278098079115 (   2 * )
  194     0.2628734562     -6.871670997594      -66.267558324750 (   2 * )
  195     0.2628736190     -6.871670834819      -66.267558161974 (   2 * )
  196     0.2667086583     -6.867835795526      -66.263723122681 (   2 * )
  197     0.2667086971     -6.867835756686      -66.263723083842 (   2 * )
  198     0.2667087168     -6.867835737025      -66.263723064180 (   2 * )
  199     0.2690941206     -6.865450333205      -66.261337660361 (   2 * )
  200     0.2690941884     -6.865450265413      -66.261337592568 (   2 * )
  201     0.2690942337     -6.865450220095      -66.261337547250 (   2 * )
  202     0.2690942564     -6.865450197399      -66.261337524555 (   2 * )
  203     0.2779734401     -6.856571013761      -66.252458340916 (   2 * )
  204     0.3184307873     -6.816113666491      -66.212000993647 (   2 * )
  205     0.3184308544     -6.816113599448      -66.212000926603 (   2 * )
  206     0.3184309884     -6.816113465404      -66.212000792560 (   2 * )
  207     0.3189517172     -6.815592736676      -66.211480063831 (   2 * )
  208     0.3189518554     -6.815592598469      -66.211479925624 (   2 * )
  209     0.3976827896     -6.736861664187      -66.132748991342 (   2 * )


 Total average:       -66.3766911649
