0: output to Pd.dmc.o
1437: Timestep is 1.07770220588235
621: Timestep is 1.07770220588235
1719: Timestep is 1.07770220588235
310: Timestep is 1.07770220588235
1438: Timestep is 1.07770220588235
893: Timestep is 1.07770220588235
622: Timestep is 1.07770220588235
1720: Timestep is 1.07770220588235
311: Timestep is 1.07770220588235
1439: Timestep is 1.07770220588235
34: Timestep is 1.07770220588235
894: Timestep is 1.07770220588235
1963: Timestep is 1.07770220588235
623: Timestep is 1.07770220588235
1721: Timestep is 1.07770220588235
1172: Timestep is 1.07770220588235
312: Timestep is 1.07770220588235
1440: Timestep is 1.07770220588235
35: Timestep is 1.07770220588235
895: Timestep is 1.07770220588235
1964: Timestep is 1.07770220588235
313: Timestep is 1.07770220588235
1442: Timestep is 1.07770220588235
896: Timestep is 1.07770220588235
1965: Timestep is 1.07770220588235
1722: Timestep is 1.07770220588235
1173: Timestep is 1.07770220588235
314: Timestep is 1.07770220588235
897: Timestep is 1.07770220588235
1966: Timestep is 1.07770220588235
1723: Timestep is 1.07770220588235
315: Timestep is 1.07770220588235
36: Timestep is 1.07770220588235
898: Timestep is 1.07770220588235
1967: Timestep is 1.07770220588235
37: Timestep is 1.07770220588235
624: Timestep is 1.07770220588235
1174: Timestep is 1.07770220588235
38: Timestep is 1.07770220588235
1968: Timestep is 1.07770220588235
39: Timestep is 1.07770220588235
1972: Timestep is 1.07770220588235
628: Timestep is 1.07770220588235
1175: Timestep is 1.07770220588235
1445: Timestep is 1.07770220588235
1724: Timestep is 1.07770220588235
1177: Timestep is 1.07770220588235
629: Timestep is 1.07770220588235
1178: Timestep is 1.07770220588235
1448: Timestep is 1.07770220588235
1725: Timestep is 1.07770220588235
630: Timestep is 1.07770220588235
316: Timestep is 1.07770220588235
1449: Timestep is 1.07770220588235
899: Timestep is 1.07770220588235
1973: Timestep is 1.07770220588235
631: Timestep is 1.07770220588235
1726: Timestep is 1.07770220588235
317: Timestep is 1.07770220588235
1450: Timestep is 1.07770220588235
900: Timestep is 1.07770220588235
318: Timestep is 1.07770220588235
1451: Timestep is 1.07770220588235
901: Timestep is 1.07770220588235
632: Timestep is 1.07770220588235
1727: Timestep is 1.07770220588235
1179: Timestep is 1.07770220588235
319: Timestep is 1.07770220588235
1452: Timestep is 1.07770220588235
40: Timestep is 1.07770220588235
902: Timestep is 1.07770220588235
1974: Timestep is 1.07770220588235
1728: Timestep is 1.07770220588235
320: Timestep is 1.07770220588235
903: Timestep is 1.07770220588235
1729: Timestep is 1.07770220588235
1730: Timestep is 1.07770220588235
1180: Timestep is 1.07770220588235
321: Timestep is 1.07770220588235
41: Timestep is 1.07770220588235
