0: output to Pd.linear.o
Could not open Pd.linear.config. Generating configurations from scratch
1948: Timestep is 0.466075
322: Timestep is 0.466075
65: Timestep is 0.466075
590: Timestep is 0.466075
1408: Timestep is 0.466075
1140: Timestep is 0.466075
859: Timestep is 0.466075
1681: Timestep is 0.466075
323: Timestep is 0.466075
1949: Timestep is 0.466075
1141: Timestep is 0.466075
591: Timestep is 0.466075
1410: Timestep is 0.466075
860: Timestep is 0.466075
1682: Timestep is 0.466075
67: Timestep is 0.466075
1950: Timestep is 0.466075
1142: Timestep is 0.466075
324: Timestep is 0.466075
1683: Timestep is 0.466075
68: Timestep is 0.466075
1951: Timestep is 0.466075
1143: Timestep is 0.466075
592: Timestep is 0.466075
1411: Timestep is 0.466075
861: Timestep is 0.466075
69: Timestep is 0.466075
1952: Timestep is 0.466075
1144: Timestep is 0.466075
593: Timestep is 0.466075
1412: Timestep is 0.466075
325: Timestep is 0.466075
862: Timestep is 0.466075
71: Timestep is 0.466075
1145: Timestep is 0.466075
1413: Timestep is 0.466075
326: Timestep is 0.466075
863: Timestep is 0.466075
72: Timestep is 0.466075
594: Timestep is 0.466075
1414: Timestep is 0.466075
864: Timestep is 0.466075
1684: Timestep is 0.466075
73: Timestep is 0.466075
1146: Timestep is 0.466075
1415: Timestep is 0.466075
1685: Timestep is 0.466075
74: Timestep is 0.466075
1953: Timestep is 0.466075
595: Timestep is 0.466075
327: Timestep is 0.466075
865: Timestep is 0.466075
1147: Timestep is 0.466075
596: Timestep is 0.466075
1416: Timestep is 0.466075
1686: Timestep is 0.466075
75: Timestep is 0.466075
1954: Timestep is 0.466075
1417: Timestep is 0.466075
328: Timestep is 0.466075
866: Timestep is 0.466075
1148: Timestep is 0.466075
1418: Timestep is 0.466075
329: Timestep is 0.466075
1687: Timestep is 0.466075
77: Timestep is 0.466075
597: Timestep is 0.466075
867: Timestep is 0.466075
1955: Timestep is 0.466075
1149: Timestep is 0.466075
1419: Timestep is 0.466075
330: Timestep is 0.466075
1688: Timestep is 0.466075
1150: Timestep is 0.466075
598: Timestep is 0.466075
78: Timestep is 0.466075
1956: Timestep is 0.466075
1420: Timestep is 0.466075
331: Timestep is 0.466075
79: Timestep is 0.466075
599: Timestep is 0.466075
80: Timestep is 0.466075
1958: Timestep is 0.466075
1421: Timestep is 0.466075
82: Timestep is 0.466075
1422: Timestep is 0.466075
83: Timestep is 0.466075
84: Timestep is 0.466075
868: Timestep is 0.466075
1689: Timestep is 0.466075
1959: Timestep is 0.466075
1152: Timestep is 0.466075
600: Timestep is 0.466075
1423: Timestep is 0.466075
333: Timestep is 0.466075
869: Timestep is 0.466075
1690: Timestep is 0.466075
1960: Timestep is 0.466075
1154: Timestep is 0.466075
601: Timestep is 0.466075
1691: Timestep is 0.466075
1961: Timestep is 0.466075
1156: Timestep is 0.466075
602: Timestep is 0.466075
1424: Timestep is 0.466075
334: Timestep is 0.466075
870: Timestep is 0.466075
1692: Timestep is 0.466075
1962: Timestep is 0.466075
604: Timestep is 0.466075
335: Timestep is 0.466075
871: Timestep is 0.466075
1693: Timestep is 0.466075
1157: Timestep is 0.466075
1425: Timestep is 0.466075
336: Timestep is 0.466075
872: Timestep is 0.466075
1694: Timestep is 0.466075
606: Timestep is 0.466075
873: Timestep is 0.466075
86: Timestep is 0.466075
1963: Timestep is 0.466075
1158: Timestep is 0.466075
1426: Timestep is 0.466075
338: Timestep is 0.466075
874: Timestep is 0.466075
1695: Timestep is 0.466075
87: Timestep is 0.466075
1964: Timestep is 0.466075
1159: Timestep is 0.466075
607: Timestep is 0.466075
1427: Timestep is 0.466075
88: Timestep is 0.466075
1428: Timestep is 0.466075
339: Timestep is 0.466075
89: Timestep is 0.466075
340: Timestep is 0.466075
90: Timestep is 0.466075
1696: Timestep is 0.466075
91: Timestep is 0.466075
1965: Timestep is 0.466075
1161: Timestep is 0.466075
608: Timestep is 0.466075
1429: Timestep is 0.466075
341: Timestep is 0.466075
875: Timestep is 0.466075
1697: Timestep is 0.466075
1966: Timestep is 0.466075
1162: Timestep is 0.466075
609: Timestep is 0.466075
1698: Timestep is 0.466075
1967: Timestep is 0.466075
1163: Timestep is 0.466075
610: Timestep is 0.466075
1430: Timestep is 0.466075
343: Timestep is 0.466075
876: Timestep is 0.466075
1699: Timestep is 0.466075
1968: Timestep is 0.466075
611: Timestep is 0.466075
344: Timestep is 0.466075
877: Timestep is 0.466075
1164: Timestep is 0.466075
878: Timestep is 0.466075
1700: Timestep is 0.466075
92: Timestep is 0.466075
1969: Timestep is 0.466075
613: Timestep is 0.466075
1431: Timestep is 0.466075
345: Timestep is 0.466075
879: Timestep is 0.466075
1701: Timestep is 0.466075
94: Timestep is 0.466075
1970: Timestep is 0.466075
1165: Timestep is 0.466075
615: Timestep is 0.466075
1432: Timestep is 0.466075
880: Timestep is 0.466075
95: Timestep is 0.466075
1166: Timestep is 0.466075
1434: Timestep is 0.466075
346: Timestep is 0.466075
96: Timestep is 0.466075
1435: Timestep is 0.466075
347: Timestep is 0.466075
97: Timestep is 0.466075
98: Timestep is 0.466075
881: Timestep is 0.466075
1702: Timestep is 0.466075
1972: Timestep is 0.466075
1167: Timestep is 0.466075
616: Timestep is 0.466075
1437: Timestep is 0.466075
348: Timestep is 0.466075
882: Timestep is 0.466075
1703: Timestep is 0.466075
1973: Timestep is 0.466075
1168: Timestep is 0.466075
617: Timestep is 0.466075
1438: Timestep is 0.466075
1704: Timestep is 0.466075
1974: Timestep is 0.466075
1169: Timestep is 0.466075
618: Timestep is 0.466075
1439: Timestep is 0.466075
349: Timestep is 0.466075
883: Timestep is 0.466075
1705: Timestep is 0.466075
100: Timestep is 0.466075
1975: Timestep is 0.466075
1170: Timestep is 0.466075
619: Timestep is 0.466075
350: Timestep is 0.466075
885: Timestep is 0.466075
1706: Timestep is 0.466075
1976: Timestep is 0.466075
1171: Timestep is 0.466075
620: Timestep is 0.466075
1441: Timestep is 0.466075
352: Timestep is 0.466075
886: Timestep is 0.466075
1707: Timestep is 0.466075
1977: Timestep is 0.466075
1172: Timestep is 0.466075
621: Timestep is 0.466075
887: Timestep is 0.466075
101: Timestep is 0.466075
1442: Timestep is 0.466075
353: Timestep is 0.466075
102: Timestep is 0.466075
1978: Timestep is 0.466075
1173: Timestep is 0.466075
354: Timestep is 0.466075
103: Timestep is 0.466075
1443: Timestep is 0.466075
104: Timestep is 0.466075
105: Timestep is 0.466075
1708: Timestep is 0.466075
623: Timestep is 0.466075
888: Timestep is 0.466075
1709: Timestep is 0.466075
1979: Timestep is 0.466075
1175: Timestep is 0.466075
625: Timestep is 0.466075
1444: Timestep is 0.466075
355: Timestep is 0.466075
889: Timestep is 0.466075
1710: Timestep is 0.466075
1980: Timestep is 0.466075
1176: Timestep is 0.466075
626: Timestep is 0.466075
1711: Timestep is 0.466075
1981: Timestep is 0.466075
1177: Timestep is 0.466075
627: Timestep is 0.466075
1445: Timestep is 0.466075
356: Timestep is 0.466075
890: Timestep is 0.466075
1712: Timestep is 0.466075
106: Timestep is 0.466075
1982: Timestep is 0.466075
1179: Timestep is 0.466075
628: Timestep is 0.466075
1446: Timestep is 0.466075
357: Timestep is 0.466075
891: Timestep is 0.466075
1713: Timestep is 0.466075
1983: Timestep is 0.466075
1180: Timestep is 0.466075
629: Timestep is 0.466075
1447: Timestep is 0.466075
358: Timestep is 0.466075
1714: Timestep is 0.466075
107: Timestep is 0.466075
1984: Timestep is 0.466075
1181: Timestep is 0.466075
359: Timestep is 0.466075
892: Timestep is 0.466075
109: Timestep is 0.466075
630: Timestep is 0.466075
1448: Timestep is 0.466075
360: Timestep is 0.466075
110: Timestep is 0.466075
1449: Timestep is 0.466075
893: Timestep is 0.466075
111: Timestep is 0.466075
894: Timestep is 0.466075
112: Timestep is 0.466075
895: Timestep is 0.466075
1715: Timestep is 0.466075
1985: Timestep is 0.466075
1182: Timestep is 0.466075
631: Timestep is 0.466075
1450: Timestep is 0.466075
362: Timestep is 0.466075
1716: Timestep is 0.466075
1986: Timestep is 0.466075
1183: Timestep is 0.466075
632: Timestep is 0.466075
896: Timestep is 0.466075
1717: Timestep is 0.466075
1987: Timestep is 0.466075
1186: Timestep is 0.466075
633: Timestep is 0.466075
1451: Timestep is 0.466075
363: Timestep is 0.466075
897: Timestep is 0.466075
1718: Timestep is 0.466075
1988: Timestep is 0.466075
1187: Timestep is 0.466075
634: Timestep is 0.466075
364: Timestep is 0.466075
1453: Timestep is 0.466075
1719: Timestep is 0.466075
113: Timestep is 0.466075
1990: Timestep is 0.466075
1188: Timestep is 0.466075
636: Timestep is 0.466075
365: Timestep is 0.466075
898: Timestep is 0.466075
1720: Timestep is 0.466075
114: Timestep is 0.466075
1991: Timestep is 0.466075
1190: Timestep is 0.466075
637: Timestep is 0.466075
1454: Timestep is 0.466075
115: Timestep is 0.466075
1455: Timestep is 0.466075
366: Timestep is 0.466075
899: Timestep is 0.466075
116: Timestep is 0.466075
1456: Timestep is 0.466075
367: Timestep is 0.466075
117: Timestep is 0.466075
369: Timestep is 0.466075
900: Timestep is 0.466075
1721: Timestep is 0.466075
118: Timestep is 0.466075
1992: Timestep is 0.466075
1192: Timestep is 0.466075
638: Timestep is 0.466075
1457: Timestep is 0.466075
1722: Timestep is 0.466075
1993: Timestep is 0.466075
1194: Timestep is 0.466075
370: Timestep is 0.466075
901: Timestep is 0.466075
1723: Timestep is 0.466075
1195: Timestep is 0.466075
639: Timestep is 0.466075
1458: Timestep is 0.466075
902: Timestep is 0.466075
1724: Timestep is 0.466075
1994: Timestep is 0.466075
1196: Timestep is 0.466075
640: Timestep is 0.466075
371: Timestep is 0.466075
903: Timestep is 0.466075
1725: Timestep is 0.466075
1197: Timestep is 0.466075
641: Timestep is 0.466075
1459: Timestep is 0.466075
1726: Timestep is 0.466075
120: Timestep is 0.466075
1995: Timestep is 0.466075
1198: Timestep is 0.466075
372: Timestep is 0.466075
904: Timestep is 0.466075
121: Timestep is 0.466075
1199: Timestep is 0.466075
642: Timestep is 0.466075
1460: Timestep is 0.466075
122: Timestep is 0.466075
1996: Timestep is 0.466075
643: Timestep is 0.466075
1461: Timestep is 0.466075
373: Timestep is 0.466075
905: Timestep is 0.466075
124: Timestep is 0.466075
1997: Timestep is 0.466075
1462: Timestep is 0.466075
374: Timestep is 0.466075
125: Timestep is 0.466075
1998: Timestep is 0.466075
375: Timestep is 0.466075
906: Timestep is 0.466075
126: Timestep is 0.466075
1727: Timestep is 0.466075
1999: Timestep is 0.466075
1200: Timestep is 0.466075
644: Timestep is 0.466075
1463: Timestep is 0.466075
376: Timestep is 0.466075
907: Timestep is 0.466075
1728: Timestep is 0.466075
1202: Timestep is 0.466075
645: Timestep is 0.466075
1464: Timestep is 0.466075
1729: Timestep is 0.466075
2001: Timestep is 0.466075
647: Timestep is 0.466075
377: Timestep is 0.466075
908: Timestep is 0.466075
1730: Timestep is 0.466075
1203: Timestep is 0.466075
909: Timestep is 0.466075
1731: Timestep is 0.466075
1204: Timestep is 0.466075
648: Timestep is 0.466075
1465: Timestep is 0.466075
1732: Timestep is 0.466075
127: Timestep is 0.466075
2002: Timestep is 0.466075
1205: Timestep is 0.466075
378: Timestep is 0.466075
910: Timestep is 0.466075
128: Timestep is 0.466075
2003: Timestep is 0.466075
1206: Timestep is 0.466075
649: Timestep is 0.466075
1467: Timestep is 0.466075
130: Timestep is 0.466075
2004: Timestep is 0.466075
650: Timestep is 0.466075
1469: Timestep is 0.466075
379: Timestep is 0.466075
911: Timestep is 0.466075
131: Timestep is 0.466075
2005: Timestep is 0.466075
1470: Timestep is 0.466075
380: Timestep is 0.466075
912: Timestep is 0.466075
133: Timestep is 0.466075
381: Timestep is 0.466075
913: Timestep is 0.466075
135: Timestep is 0.466075
1208: Timestep is 0.466075
651: Timestep is 0.466075
1733: Timestep is 0.466075
914: Timestep is 0.466075
653: Timestep is 0.466075
915: Timestep is 0.466075
1209: Timestep is 0.466075
916: Timestep is 0.466075
1734: Timestep is 0.466075
2006: Timestep is 0.466075
1471: Timestep is 0.466075
382: Timestep is 0.466075
654: Timestep is 0.466075
1210: Timestep is 0.466075
1735: Timestep is 0.466075
136: Timestep is 0.466075
2007: Timestep is 0.466075
655: Timestep is 0.466075
1472: Timestep is 0.466075
383: Timestep is 0.466075
917: Timestep is 0.466075
1736: Timestep is 0.466075
138: Timestep is 0.466075
2008: Timestep is 0.466075
1212: Timestep is 0.466075
656: Timestep is 0.466075
1737: Timestep is 0.466075
139: Timestep is 0.466075
2009: Timestep is 0.466075
657: Timestep is 0.466075
1473: Timestep is 0.466075
384: Timestep is 0.466075
918: Timestep is 0.466075
1738: Timestep is 0.466075
140: Timestep is 0.466075
2010: Timestep is 0.466075
1213: Timestep is 0.466075
1474: Timestep is 0.466075
387: Timestep is 0.466075
1739: Timestep is 0.466075
2011: Timestep is 0.466075
1476: Timestep is 0.466075
388: Timestep is 0.466075
919: Timestep is 0.466075
1214: Timestep is 0.466075
1477: Timestep is 0.466075
389: Timestep is 0.466075
141: Timestep is 0.466075
920: Timestep is 0.466075
142: Timestep is 0.466075
1215: Timestep is 0.466075
658: Timestep is 0.466075
145: Timestep is 0.466075
921: Timestep is 0.466075
2012: Timestep is 0.466075
1216: Timestep is 0.466075
660: Timestep is 0.466075
922: Timestep is 0.466075
1740: Timestep is 0.466075
1217: Timestep is 0.466075
661: Timestep is 0.466075
1478: Timestep is 0.466075
390: Timestep is 0.466075
2013: Timestep is 0.466075
1741: Timestep is 0.466075
146: Timestep is 0.466075
2014: Timestep is 0.466075
662: Timestep is 0.466075
1479: Timestep is 0.466075
392: Timestep is 0.466075
923: Timestep is 0.466075
1742: Timestep is 0.466075
2015: Timestep is 0.466075
