0: output to I.dmc.o
1682: Timestep is 1.15515625
597: Timestep is 1.15515625
1955: Timestep is 1.15515625
861: Timestep is 1.15515625
77: Timestep is 1.15515625
1135: Timestep is 1.15515625
1683: Timestep is 1.15515625
598: Timestep is 1.15515625
1407: Timestep is 1.15515625
322: Timestep is 1.15515625
862: Timestep is 1.15515625
78: Timestep is 1.15515625
1136: Timestep is 1.15515625
599: Timestep is 1.15515625
1408: Timestep is 1.15515625
1956: Timestep is 1.15515625
1138: Timestep is 1.15515625
602: Timestep is 1.15515625
863: Timestep is 1.15515625
323: Timestep is 1.15515625
864: Timestep is 1.15515625
79: Timestep is 1.15515625
1139: Timestep is 1.15515625
1684: Timestep is 1.15515625
603: Timestep is 1.15515625
1409: Timestep is 1.15515625
324: Timestep is 1.15515625
1957: Timestep is 1.15515625
865: Timestep is 1.15515625
80: Timestep is 1.15515625
1140: Timestep is 1.15515625
1685: Timestep is 1.15515625
604: Timestep is 1.15515625
1410: Timestep is 1.15515625
325: Timestep is 1.15515625
1958: Timestep is 1.15515625
866: Timestep is 1.15515625
81: Timestep is 1.15515625
1141: Timestep is 1.15515625
1686: Timestep is 1.15515625
605: Timestep is 1.15515625
1411: Timestep is 1.15515625
326: Timestep is 1.15515625
867: Timestep is 1.15515625
82: Timestep is 1.15515625
1142: Timestep is 1.15515625
1687: Timestep is 1.15515625
606: Timestep is 1.15515625
1412: Timestep is 1.15515625
327: Timestep is 1.15515625
1959: Timestep is 1.15515625
868: Timestep is 1.15515625
1143: Timestep is 1.15515625
1688: Timestep is 1.15515625
607: Timestep is 1.15515625
1413: Timestep is 1.15515625
328: Timestep is 1.15515625
1960: Timestep is 1.15515625
869: Timestep is 1.15515625
1144: Timestep is 1.15515625
1689: Timestep is 1.15515625
608: Timestep is 1.15515625
329: Timestep is 1.15515625
1961: Timestep is 1.15515625
870: Timestep is 1.15515625
1690: Timestep is 1.15515625
609: Timestep is 1.15515625
1962: Timestep is 1.15515625
871: Timestep is 1.15515625
83: Timestep is 1.15515625
1414: Timestep is 1.15515625
1963: Timestep is 1.15515625
84: Timestep is 1.15515625
1964: Timestep is 1.15515625
1415: Timestep is 1.15515625
85: Timestep is 1.15515625
86: Timestep is 1.15515625
1145: Timestep is 1.15515625
1691: Timestep is 1.15515625
610: Timestep is 1.15515625
1416: Timestep is 1.15515625
330: Timestep is 1.15515625
872: Timestep is 1.15515625
87: Timestep is 1.15515625
1146: Timestep is 1.15515625
1692: Timestep is 1.15515625
611: Timestep is 1.15515625
1417: Timestep is 1.15515625
331: Timestep is 1.15515625
873: Timestep is 1.15515625
88: Timestep is 1.15515625
1147: Timestep is 1.15515625
1693: Timestep is 1.15515625
1418: Timestep is 1.15515625
332: Timestep is 1.15515625
1966: Timestep is 1.15515625
874: Timestep is 1.15515625
