0: output to I.dmc.o
1135: Timestep is 1.15857536764706
75: Timestep is 1.15857536764706
1674: Timestep is 1.15857536764706
325: Timestep is 1.15857536764706
1405: Timestep is 1.15857536764706
866: Timestep is 1.15857536764706
586: Timestep is 1.15857536764706
1949: Timestep is 1.15857536764706
1136: Timestep is 1.15857536764706
76: Timestep is 1.15857536764706
1675: Timestep is 1.15857536764706
326: Timestep is 1.15857536764706
1406: Timestep is 1.15857536764706
867: Timestep is 1.15857536764706
587: Timestep is 1.15857536764706
1950: Timestep is 1.15857536764706
1137: Timestep is 1.15857536764706
77: Timestep is 1.15857536764706
1676: Timestep is 1.15857536764706
327: Timestep is 1.15857536764706
1407: Timestep is 1.15857536764706
868: Timestep is 1.15857536764706
588: Timestep is 1.15857536764706
1952: Timestep is 1.15857536764706
79: Timestep is 1.15857536764706
1677: Timestep is 1.15857536764706
329: Timestep is 1.15857536764706
1954: Timestep is 1.15857536764706
1138: Timestep is 1.15857536764706
1408: Timestep is 1.15857536764706
869: Timestep is 1.15857536764706
589: Timestep is 1.15857536764706
1678: Timestep is 1.15857536764706
1955: Timestep is 1.15857536764706
1139: Timestep is 1.15857536764706
590: Timestep is 1.15857536764706
1679: Timestep is 1.15857536764706
330: Timestep is 1.15857536764706
1956: Timestep is 1.15857536764706
82: Timestep is 1.15857536764706
1409: Timestep is 1.15857536764706
591: Timestep is 1.15857536764706
1957: Timestep is 1.15857536764706
1140: Timestep is 1.15857536764706
83: Timestep is 1.15857536764706
1680: Timestep is 1.15857536764706
331: Timestep is 1.15857536764706
1410: Timestep is 1.15857536764706
592: Timestep is 1.15857536764706
1958: Timestep is 1.15857536764706
1141: Timestep is 1.15857536764706
84: Timestep is 1.15857536764706
1411: Timestep is 1.15857536764706
593: Timestep is 1.15857536764706
1960: Timestep is 1.15857536764706
1142: Timestep is 1.15857536764706
85: Timestep is 1.15857536764706
1681: Timestep is 1.15857536764706
332: Timestep is 1.15857536764706
1412: Timestep is 1.15857536764706
594: Timestep is 1.15857536764706
1961: Timestep is 1.15857536764706
1143: Timestep is 1.15857536764706
86: Timestep is 1.15857536764706
1682: Timestep is 1.15857536764706
333: Timestep is 1.15857536764706
1413: Timestep is 1.15857536764706
870: Timestep is 1.15857536764706
595: Timestep is 1.15857536764706
1962: Timestep is 1.15857536764706
1145: Timestep is 1.15857536764706
87: Timestep is 1.15857536764706
1683: Timestep is 1.15857536764706
334: Timestep is 1.15857536764706
1414: Timestep is 1.15857536764706
596: Timestep is 1.15857536764706
1963: Timestep is 1.15857536764706
1146: Timestep is 1.15857536764706
88: Timestep is 1.15857536764706
335: Timestep is 1.15857536764706
1415: Timestep is 1.15857536764706
597: Timestep is 1.15857536764706
1964: Timestep is 1.15857536764706
1147: Timestep is 1.15857536764706
89: Timestep is 1.15857536764706
336: Timestep is 1.15857536764706
1416: Timestep is 1.15857536764706
871: Timestep is 1.15857536764706
1965: Timestep is 1.15857536764706
1148: Timestep is 1.15857536764706
90: Timestep is 1.15857536764706
337: Timestep is 1.15857536764706
1418: Timestep is 1.15857536764706
872: Timestep is 1.15857536764706
1966: Timestep is 1.15857536764706
1149: Timestep is 1.15857536764706
1684: Timestep is 1.15857536764706
338: Timestep is 1.15857536764706
873: Timestep is 1.15857536764706
1967: Timestep is 1.15857536764706
1150: Timestep is 1.15857536764706
874: Timestep is 1.15857536764706
1151: Timestep is 1.15857536764706
1685: Timestep is 1.15857536764706
339: Timestep is 1.15857536764706
875: Timestep is 1.15857536764706
1968: Timestep is 1.15857536764706
1686: Timestep is 1.15857536764706
876: Timestep is 1.15857536764706
598: Timestep is 1.15857536764706
1152: Timestep is 1.15857536764706
340: Timestep is 1.15857536764706
91: Timestep is 1.15857536764706
1687: Timestep is 1.15857536764706
1970: Timestep is 1.15857536764706
341: Timestep is 1.15857536764706
1419: Timestep is 1.15857536764706
877: Timestep is 1.15857536764706
1153: Timestep is 1.15857536764706
599: Timestep is 1.15857536764706
93: Timestep is 1.15857536764706
1688: Timestep is 1.15857536764706
600: Timestep is 1.15857536764706
1971: Timestep is 1.15857536764706
342: Timestep is 1.15857536764706
1420: Timestep is 1.15857536764706
878: Timestep is 1.15857536764706
1154: Timestep is 1.15857536764706
1689: Timestep is 1.15857536764706
94: Timestep is 1.15857536764706
601: Timestep is 1.15857536764706
1973: Timestep is 1.15857536764706
343: Timestep is 1.15857536764706
1421: Timestep is 1.15857536764706
1155: Timestep is 1.15857536764706
1690: Timestep is 1.15857536764706
1422: Timestep is 1.15857536764706
879: Timestep is 1.15857536764706
602: Timestep is 1.15857536764706
1974: Timestep is 1.15857536764706
1156: Timestep is 1.15857536764706
95: Timestep is 1.15857536764706
344: Timestep is 1.15857536764706
880: Timestep is 1.15857536764706
97: Timestep is 1.15857536764706
1691: Timestep is 1.15857536764706
1423: Timestep is 1.15857536764706
881: Timestep is 1.15857536764706
603: Timestep is 1.15857536764706
1975: Timestep is 1.15857536764706
1157: Timestep is 1.15857536764706
98: Timestep is 1.15857536764706
345: Timestep is 1.15857536764706
1424: Timestep is 1.15857536764706
882: Timestep is 1.15857536764706
604: Timestep is 1.15857536764706
1976: Timestep is 1.15857536764706
99: Timestep is 1.15857536764706
1692: Timestep is 1.15857536764706
1425: Timestep is 1.15857536764706
883: Timestep is 1.15857536764706
605: Timestep is 1.15857536764706
1978: Timestep is 1.15857536764706
1158: Timestep is 1.15857536764706
100: Timestep is 1.15857536764706
1693: Timestep is 1.15857536764706
346: Timestep is 1.15857536764706
103: Timestep is 1.15857536764706
1694: Timestep is 1.15857536764706
606: Timestep is 1.15857536764706
1979: Timestep is 1.15857536764706
1695: Timestep is 1.15857536764706
1426: Timestep is 1.15857536764706
884: Timestep is 1.15857536764706
1159: Timestep is 1.15857536764706
104: Timestep is 1.15857536764706
1696: Timestep is 1.15857536764706
347: Timestep is 1.15857536764706
1697: Timestep is 1.15857536764706
1427: Timestep is 1.15857536764706
885: Timestep is 1.15857536764706
607: Timestep is 1.15857536764706
1980: Timestep is 1.15857536764706
1160: Timestep is 1.15857536764706
106: Timestep is 1.15857536764706
348: Timestep is 1.15857536764706
1428: Timestep is 1.15857536764706
886: Timestep is 1.15857536764706
608: Timestep is 1.15857536764706
1981: Timestep is 1.15857536764706
1161: Timestep is 1.15857536764706
107: Timestep is 1.15857536764706
1698: Timestep is 1.15857536764706
1429: Timestep is 1.15857536764706
609: Timestep is 1.15857536764706
1982: Timestep is 1.15857536764706
1162: Timestep is 1.15857536764706
108: Timestep is 1.15857536764706
1699: Timestep is 1.15857536764706
349: Timestep is 1.15857536764706
1430: Timestep is 1.15857536764706
610: Timestep is 1.15857536764706
1984: Timestep is 1.15857536764706
109: Timestep is 1.15857536764706
1700: Timestep is 1.15857536764706
350: Timestep is 1.15857536764706
1431: Timestep is 1.15857536764706
887: Timestep is 1.15857536764706
611: Timestep is 1.15857536764706
1985: Timestep is 1.15857536764706
1163: Timestep is 1.15857536764706
111: Timestep is 1.15857536764706
1701: Timestep is 1.15857536764706
1432: Timestep is 1.15857536764706
612: Timestep is 1.15857536764706
1986: Timestep is 1.15857536764706
1164: Timestep is 1.15857536764706
112: Timestep is 1.15857536764706
1702: Timestep is 1.15857536764706
351: Timestep is 1.15857536764706
1433: Timestep is 1.15857536764706
1987: Timestep is 1.15857536764706
1166: Timestep is 1.15857536764706
1703: Timestep is 1.15857536764706
352: Timestep is 1.15857536764706
1434: Timestep is 1.15857536764706
1989: Timestep is 1.15857536764706
1167: Timestep is 1.15857536764706
113: Timestep is 1.15857536764706
353: Timestep is 1.15857536764706
1435: Timestep is 1.15857536764706
888: Timestep is 1.15857536764706
613: Timestep is 1.15857536764706
1990: Timestep is 1.15857536764706
1168: Timestep is 1.15857536764706
1704: Timestep is 1.15857536764706
354: Timestep is 1.15857536764706
1436: Timestep is 1.15857536764706
355: Timestep is 1.15857536764706
114: Timestep is 1.15857536764706
356: Timestep is 1.15857536764706
889: Timestep is 1.15857536764706
614: Timestep is 1.15857536764706
1991: Timestep is 1.15857536764706
1705: Timestep is 1.15857536764706
357: Timestep is 1.15857536764706
890: Timestep is 1.15857536764706
615: Timestep is 1.15857536764706
1992: Timestep is 1.15857536764706
1706: Timestep is 1.15857536764706
358: Timestep is 1.15857536764706
891: Timestep is 1.15857536764706
1993: Timestep is 1.15857536764706
1708: Timestep is 1.15857536764706
892: Timestep is 1.15857536764706
1994: Timestep is 1.15857536764706
1709: Timestep is 1.15857536764706
893: Timestep is 1.15857536764706
1995: Timestep is 1.15857536764706
1710: Timestep is 1.15857536764706
894: Timestep is 1.15857536764706
1711: Timestep is 1.15857536764706
1712: Timestep is 1.15857536764706
1437: Timestep is 1.15857536764706
616: Timestep is 1.15857536764706
1169: Timestep is 1.15857536764706
115: Timestep is 1.15857536764706
1713: Timestep is 1.15857536764706
1438: Timestep is 1.15857536764706
617: Timestep is 1.15857536764706
1171: Timestep is 1.15857536764706
116: Timestep is 1.15857536764706
1439: Timestep is 1.15857536764706
618: Timestep is 1.15857536764706
1172: Timestep is 1.15857536764706
117: Timestep is 1.15857536764706
359: Timestep is 1.15857536764706
1440: Timestep is 1.15857536764706
619: Timestep is 1.15857536764706
1173: Timestep is 1.15857536764706
118: Timestep is 1.15857536764706
